,Topic,Words,Frequency,Class,ChatGPT_Label
0,0,"chairman, amendment, support, think, committee",48083,D,Legislation Amendment Support Coordination
1,1,"speaker, legislation, act, support, time",47092,D,Legislative Procedure and Support
2,2,"chairman, program, amendment, time, committee",45119,D,Social Security Amendment Program
3,3,"gentleman, think, yield, gentleman yield, want",41377,D,Gentleman's legislative discourse
4,4,"serve, speaker, great, colleague, man",45222,D,Honoring Distinguished Public Servants
5,5,"speaker, tax, people, president, budget",36835,D,Tax and Budget Debates
6,6,"gentleman, speaker, thank, member, yield",31363,D,Congressional Appreciation and Support
7,7,"gentleman, chairman, yield, committee, amendment",33691,D,Committee Chairman Appreciation
8,8,"amendment, act, report, state, purpose",37108,D,Legislative Amendment Reports
9,9,"speaker, people, world, president, war",32363,D,Human Rights and Freedom Movement
10,10,"chairman, committee, time, gentleman, think",31046,D,Committee Chairman's Inquiry and Leadership
11,11,"program, need, think, area, school",31098,D,Education Funding in Poor Districts
12,12,"amendment, chairman, gentleman, offer, amendment chairman",31692,D,Legislative Amendment Procedures
13,13,"speaker, law, act, committee, legislation",30366,D,Legislative leadership and advocacy
14,14,"unanimous consent, ask unanimous, consent, unanimous, speaker",38569,D,Parliamentary Procedure on Appropriations
15,15,"law, gentleman, court, case, think",29726,D,Legal Proceedings and Civil Rights
16,16,"money, gentleman, pay, million, fund",26933,D,Government Financial Responsibility and Taxation
17,17,"tax, people, percent, budget, billion",27165,D,Tax Policy and Economic Concerns
18,18,"water, program, area, project, energy",30140,D,Agricultural Conservation and Energy Program
19,19,"people, world, man, country, war",28808,D,American freedom and patriotism
20,20,"speaker, yield, speaker yield, time, gentleman",21747,D,Speaker Yield Time Consuming Legislation
21,21,"gentleman, think, country, war, know",22782,D,Nuclear weapons and international security
22,22,"health, child, care, program, school",26879,D,Comprehensive Health Care Reform
23,23,"war, military, president, world, country",22517,D,Global Security and Military Policy
24,24,"farmer, price, gentleman, farm, industry",18736,D,Agricultural Price Support Program
25,0,"chairman, amendment, support, think, time",39818,R,Topic 25
26,1,"speaker, legislation, support, act, time",38056,R,Topic 26
27,2,"chairman, amendment, program, time, committee",34756,R,Topic 27
28,3,"gentleman, think, yield, gentleman yield, want",35950,R,Topic 28
29,4,"serve, speaker, great, colleague, man",29224,R,Topic 29
30,5,"speaker, tax, people, budget, american",36191,R,Topic 30
31,6,"gentleman, speaker, thank, yield, think",29955,R,Topic 31
32,7,"gentleman, chairman, yield, committee, thank",27342,R,Topic 32
33,8,"amendment, act, section, provision, report",23560,R,Topic 33
34,9,"speaker, people, world, president, freedom",26811,R,Topic 34
35,10,"chairman, committee, time, gentleman, think",26732,R,Topic 35
36,11,"program, think, need, school, people",25879,R,Topic 36
37,12,"amendment, chairman, gentleman, offer, amendment chairman",23865,R,Topic 37
38,13,"speaker, rule, law, member, legislation",24883,R,Topic 38
39,14,"unanimous consent, consent, speaker, unanimous, ask unanimous",15870,R,Topic 39
40,15,"law, gentleman, case, court, think",24327,R,Topic 40
41,16,"money, gentleman, pay, million, fund",26717,R,Topic 41
42,17,"tax, people, percent, budget, american",24157,R,Topic 42
43,18,"water, program, area, project, energy",21010,R,Topic 43
44,19,"people, world, man, war, country",18582,R,Topic 44
45,20,"speaker, yield, time, speaker yield, gentleman",23117,R,Topic 45
46,21,"gentleman, think, country, war, know",21103,R,Topic 46
47,22,"health, child, care, program, school",15626,R,Topic 47
48,23,"war, military, president, world, country",16372,R,Topic 48
49,24,"farmer, price, farm, gentleman, country",18239,R,Topic 49
